,bunker_id,mu,sigma
0,C2-80,0.005798905531571111,0.11380349479769301
1,C2-70,0.0010134495536210895,0.041070406077534184
2,C2-60,0.0014205604148863095,0.044039809749510946
3,C2-90,0.006160779787532984,0.06961851897109281
4,C2-10,0.0015230983238384461,0.10598091731415826
5,C2-40,0.0005783646648110684,0.030433960836435167
6,C2-50,0.002084806449768142,0.028941444823009557
7,C2-20,0.005132766340624763,0.07287110960205806
8,C1-40,0.0017539235865350012,0.022134126561124824
9,C1-30,0.003911622673679469,0.0298246737197056
10,C1-20,0.005767754387396311,0.055559018416836935
11,C1-50,0.0009418785978670825,0.021553740148653376
12,C1-70,0.0035737010399693745,0.029566378732721433
13,C1-80,0.008142898729319127,0.1227266060811535
14,C1-10,0.001147899580098539,0.039643981480755486
15,C1-60,0.0019084442226913933,0.024947588621871703
