bunker,t_offset,t_mat_hub,n_Huebe_pro_Ballen,t_Hub_vor,t_Hub_zurück,t_WZ_zw_Hueben_pro_Ballen,t_Abbinden,t_klappe_zu_to_rdy,t_close_US_to_rdy,t_stop_front_press_to_press
C1-2,2.8,0.21,13.0,0.281,0.117,1.43,0.58,8.14,5.83,0.285
C1-3,3.48,0.725,6.0,0.173,0.075,0.3,0.545,5.84,4.24,0.285
C1-5,3.83,0.41,3.5,0.319,0.1,0.1,0.55,6.25,5.485,0.285
C1-6,5.39,0.91,5.5,0.247,0.1,0.128,0.58,6.01,4.5,0.285
C1-7,2.19,1.15,6.5,0.171,0.074,0.09,0.58,6.01,5.55,0.285
C1-8,1.96,0.42,6.5,0.172,0.075,0.24,0.545,5.035,4.08,0.285
C2-1,4.62,0.93,9.0,0.284,0.111,1.78,0.58,6.85,4.67,0.285
C2-2,2.87,0.52,17.0,0.154,0.069,0.405,0.58,6.0,3.58,0.285
C2-5,4.67,0.69,4.667,0.278,0.104,0.15,0.543,8.67,5.68,0.285
C2-6,2.25,0.63,4.0,0.452,0.093,1.9,0.542,13.065,11.685,0.285
C2-7,2.18,0.99,6.0,0.176,0.075,0.285,0.55,5.6,4.79,0.285
C2-8,1.915,0.44,12.0,0.163,0.07,0.55,0.55,3.88,3.1,0.285
